A frail looking,Une apparence fragile
A frail looking young,Un jeune homme à l'allure frêle
Abruptly,Brusquement (adv)
Accomplish,Accomplir
Accounts for the discrepancy,Explique l'écart (vrb)
Across,À travers (adv)
Across from,En face de
Across my face,À travers mon visage (adv)
Adorned,Orné (adj)
Akin,Comparable à qqch / s'apparenté (adj)
Akin to,Semblable à qqch (adj)
Aloud,À haute voix (adv)
Appraise,Évaluer (vrb)
Appraised,Évalué / apprécier qqch (adj)
Approach,Approcher
Arous,Excité (vrb)
Arousal,Excititaion
Arouse,Susciter (vrb)
Articulate,Articuler
As,Comme (adv)
As I +vrb,Alors que je +vrb (adv)
As been granded,A été accordé (vrb)
As thought,Comme la pensée (adv)
Astonishment,Étonnement (adj)
Astounding,Stupéfiant
Augment,Augmenter
Aware,Concient
Bargain,Marchander
Barking up the wrong tree,S'adresser à la mauvaise personne
Beat around the bush,Tourner autour du pot
Beloved,Bien-aimés (adj)
Beneath,Sous (adv)
Beside,À côté (adv)
Bite the bullet,Affronter la réalité
Blazing,Flamboyant (adj)
Blazing sun,Soleil de plomb (n)
Boast,Vanter
Boasting,Vantant (adj)
Boost,Stimuler
Bosom,Poitrine (n)
Bounce back,Rebondir
Bouncing,Rebondissant (adj)
Break a leg,Bonne chance
Break the bank,Coûter une fortune
Break the ice,Briser la glace
Break up,Se séparer
Brow,Sourcils (n)
Brow furrowed,Sourcils froncés (adj)
Carving,Sculpture (n)
Catch up,Rattraper son retard
Caught,Attrapé / capturé (vrb)
Caught off garde,Pris au dépourvu (vrb)
Caught red-handed,Pris la main dans le sac
Caught sight,Aperçu (vrb)
Caught up,Rattrapé (vrb)
Cease,Cesser (vrb)
Chores,Corvées (n)
Chuckle,Glousser
Coherent,Cohérent
Collapse,Crouler (vrb)
Comprehend,Comprendre
Concealing,Dissimuler (vrb)
Convey,Transmettre
Cost an arm and a leg,Couter les yeux de la tête
Cottage,Chalet / maison de campagne (n)
Coursing,En cours (vrb)
Coursing throught me,Qui me traverse l'esprit (vrb)
Cut corners,Prendre des raccourcis
Daily lives,Vie quotidienne (n)
Deal with,Faire face à
Delineate,Délimiter
Demise,Disparition (mort) (n)
Deplete,Épuiser (vrb)
Depleted,Épuisé (adj)
Devious,Sournois (adj)
Discern,Discerner
Discerning,Discernant
Discrepancy,Divergence / contradiction / écart (n)
Disposal,Élimination / disposition (n)
Diverse,Diversifié
Drip,Goutter
Dripping,Goutte à goutte
Dripping with,Dégoulinant de
Drowsiness,Somnolence (n)
Drowsiness washed over me,La somnolence m'a envahi (vrb)
Each glimpse,Chaque coup de vue (n)
Eloquence,Éloquence
Eloquent,Éloquent
Elucidate,Élucider
Ensure,Assurer
Ensured,Assuré (adj)
Enthusiastic,Enthousiaste
Enticingly,De manière séduisante (adv)
Epitome of betrayal,Exemple de trahison (n)
Etch,Graver (vrb)
Etched,Gravé (adj)
Evening descended,Le soir est tombé
Exemplify,Illustrer
Eyelids,Paupières (n)
Facilitate,Faciliter
Fathom,Sonder
Feel like,Avoir envie de
Fiercely,Férocement (adv)
Figure out,Trouver une solution à
Find out more,Se renseigner (vrb)
Flawless(y),Parfaite / irréprochable
Flooded,Inondé (adj)
Fluctuate,Fluctuer
Fluent,Courant
Flush,Rincer (vrb)
Fondle,Caresser
Forebonding tone,Ton bas et avant courreur
Frail,Fragiles
Frowned,Froncer /plisser
Full fill,Remplir entièrement (vrb)
Fullest,Le plus complet (adj)
Furrow,Froncer (vrb)
Furrowed,Sillonné / froncé (adj)
Further,Plus loin (informations) (adj)
Galvanize,Galvaniser
Garner,Rassembler
Gaze,Regard (n)
Gazing,Regardant (vrb)
Get along,Bien s'entendre
Give up,Abandonner
Gleaming,Brillant (adj)
Glimpse,Aperçu (n)
Go for it,Vas-y
Go the extra mile,Faire un effort supplémentaire
Gone,Abscent (adj)
Gracious,Gracieux
Grasp,Saisir (vrb)
Grateful,Reconnaissant
Greed,Avare (n)
Greedily,Avec avidité / gourmandise (adv)
Greet,Saluer (vrb)
Grin,Sourire / rictus (n)
Grumble,Groundement / râler (vrb)
Halt,Arrêter (vrb)
Halted,Arrêté (adj)
Hang out,Passer du temps ensemble
Head,Diriger (vrb)
Head to,Diriger (vrb)
Headed,Dirigé (adj)
Headed toward,En direction de (adj)
Heaven,Paradis (n)
Heighten,Rehausser
Heightened,Renforcé (adj)
Hesitate,Hésiter
Hint,Indice (n)
Hint of,Soupçon de (n)
Hit the nail on the head,Mettre dans le mille
Hold your horses,Patientez
Hone,Affiner
However,Cependant (adv)
I made my way,Je me suis frayé un chemin (vrb)
I made my way toward,Je me suis dirigé vers (vrb)
I muse aloud,Je réfléchis à voix haute (vrb)
Illuminate,Éclairer
Immerse,Plonger
In the blink of an eye,En un clin d'œil
Indeed,En effet (adv)
Indulging,Gâter / satisfaire (vrb)
Indulging in,S'adonner à (vrb)
Infallible,Infaillible
Inquire,S'enquérir
Inquired,Se renseigner (vrb)
Intertwind,Entrelacer (vrb)
Intertwine,Entrelacer (vrb)
Intricacies,Subtilités (n)
Jiggling,Tremblé (vrb)
Jovial,Jovial
Juxtapose,Mettre côte à côte
Juxtaposition,Juxtaposition
Keen,Vif
Keep in touch,Rester en contact
Keep it up,Continuer ainsi
Kick the bucket,Casser sa pipe
Kill two birds with one stone,Faire d'une pierre deux coups
Kind,Genre (adj)
Kindle,Attiser
Lace,Lacer
Laced,Lacé (adj)
Lapse,Délais (n)
Lapse in memory,Trou de mémoire (n)
Laundry,Blanchisserie
Lay,Laïcité / poser (vrb)
Leather,Cuir (n)
Let sleeping dogs lie,Ne pas réveiller les problèmes
Let the cat out of the bag,Vendre la mèche
Linger,Persister
Look forward to,Avoir hâte de
Lucid,Lucide
Lusting,Convoitise / désir (vrb)
Magnify,Amplifier
Maid,Servante (n)
Make a difference,Faire la différence
Make a long story short,Pour faire court
Maneuver,Manœuvrer
Melt,Fondre
Merely,Simplement / seulement (adv)
Mesmerise,Envoûtant
Meticulous,Méticuleux
Might,Peuvent (vrb)
Milky-white,Blanc laiteux (adj)
Mindless,Stupide (adj)
Mischief,Malice (n)
Mischievous,Malicieux (adj)
Mundane,Banal (adj)
Muse,Songer (vrb)
Mutter,Marmonner (vrb)
Muttered,Marmonné (adj)
My face flushed,Mon visage s'est enflammé (vrb)
Nap,Sieste (n)
Nascent,Naissant
Naughty,Vilain
Navigate,Naviguer
Nuance,Nuance
Oblige,Obliger
Optimize,Optimiser
Or rather / instead,Ou plutôt / au lieu de (adv)
Overtake,Dépasser (vrb)
Overtaking,Dépasser (vrb)
Overtly,Ouvertement (adv)
Overwhelm,Submerger
Pathway,Voie d'accès (n)
Permeate,Imprégner
Persevere,Persévérer
Pervasive,Omniprésent
Piece of cake,Un jeu d'enfant
Pitful,Pitoyable (adj)
Ponder,Réfléchir
Pondered,Réfléchi (adj)
Pull someone's leg,Taquiner quelqu'un
Pull yourself together,Reprends-toi
Puppet,Marionnette (n)
Put all your eggs in one basket,Mettre tous ses œufs dans le même panier
Qualify,Qualifier
Quell,Réprimer
Quench,Étancher
Quintessential,Quintessentiel
Quite,Assez / tout à fait (adv)
Raining cats and dogs,Il pleut des cordes
Ran out,Épuisé / s'est enfui (vrb)
Reddening,Rougissant (vrb)
Refined,Raffiné
Relief,Secours / soulagement (n)
Relish,Savourer
Relishing in,Se délectant de
Replenish,Réapprovisionner (vrb)
Replenished,Reconstitué / réapprovisionné (adj)
Resilient,Résilient
Resonate,Résonner
Resting,Repos (vrb)
Retreating,Se retirant (vrb)
Reveal,Révéler
Rid,Débarrasser (vrb)
Rise,Levé / augmenter (vrb)
Run out of,Être à court de
Rusty,Rouillé (adj)
Scoff,Railler (vrb)
Scoffed,Raillé (adj)
Scold,Gronder (vrb)
Scolded,Grondé (adj)
Scrupulous,Scrupuleux
Scrutinize,Scruter
Seat,Siège (n)
Secluded,Isolé
Seek,Viser / aspirer (vrb)
Shall,Devoir
Shift (adj),Changement (n)
Shift (vrb),Mofifier
Sight,Vue (n)
Skirt,Jupe (n)
Slight,Faible (adj)
Smirk,Sourire narquois (vrb)
Smirked,Sourit (vrb)
Sought,Recherché / requis (vrb)
Spread,Se propager (vrb)
Steal the show,Volé la vedette
Stealthily,Furtivement / discrètement (adv)
Stepped out,Sortir (vrb)
Sublime,Sublime
Substantiate,Substantier
Sultry,Sensuel
Swiftly,Rapidement (adv)
Take a rain check,Remettre à plus tard
Take care,Prendre soin
Take it easy,Prendre du recul
Taken by surprise,Pris par surprise
Tantalizing manner,D'une manière aguichante (adj)
Tendrils,Vrilles (n)
Thoroughly,En profondeur (adv)
Though,Bien que / cependant (conj)
Thought raced,Pensées se bousculent (vrb)
Tinged,Teinté (adj)
Toiled,Peiné / travaillé (vrb)
Towards,Vers / à l'égard de (prep)
Transcend,Transcender
Traverse,Traverser
Treacherous,Perfide
Trickle,Ruisseler / couler (vrb)
Trumble,Trébucher (vrb)
Tumble,Dégringoler (vrb)
Turn up,Apparaître
Unaware,Inconscient (adj)
Unbashedly,Sans retenue / hésitation (adv)
Unbridled,Sans retenue (adj)
Unprecedented,Sans précédent
Unveil,Dévoiler
Upgrade,Mettre à niveau (vrb)
Upgraded throught,Mis à niveau par l'intermédiaire de (vrb)
Upon,Sur (prep)
Utter,Prononcer (vrb)
Uttered,Prononcé (adj)
Validate,Valider
Wander,Vagabonder (vrb)
Way,Manière / chemin (n)
Wicked,Méchant (adj)
Wide,Large (adj)
